,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
335,ME,01,Jay Allen,R,False,False,38.5,"$79,585","$69,853"
336,ME,02,Jared Golden,D,True,True,52.9,"$5,272,142","$5,233,990"
337,ME,02,Dale Crafts,R,False,False,47.1,"$1,199,805","$1,196,117"
338,MD,01,Andy Harris,R,True,True,63.5,"$1,468,096","$973,953"
339,MD,01,Mia Mason,D,False,False,36.3,"$2,524",$0
340,MD,02,Dutch Ruppersberger,D,True,True,67.2,"$1,012,835","$927,353"
341,MD,02,Johnny Ray Salling,R,False,False,32.6,"$68,320","$66,895"
342,MD,03,John Sarbanes,D,True,True,69.5,"$573,599","$687,299"
343,MD,03,Charles Anthony,R,False,False,30.3,"$7,798","$6,742"
344,MD,04,Anthony Brown,D,True,True,79.3,"$1,446,636","$846,827"
345,MD,05,Steny H Hoyer,D,True,True,68.5,"$4,587,189","$4,342,255"
346,MD,05,Chris Palombi,R,False,False,31.2,"$43,462","$42,095"
347,MD,06,David Trone,D,True,True,57.9,"$2,944,893","$2,959,748"
348,MD,06,Neil Parrott,R,False,False,40.2,"$315,936","$261,259"
349,MD,07,Kweisi Mfume,D,True,True,71.6,"$1,014,126","$713,389"
350,MD,07,Kimberly Klacik,R,False,False,28.1,"$8,296,845","$7,499,454"
351,MD,08,Jamie Raskin,D,True,True,67.3,"$2,072,652","$1,399,252"
352,MD,08,Gregory Coll,R,False,False,32.5,"$30,876","$27,257"
353,MA,01,Richard E Neal,D,True,True,96.5,"$4,949,384","$5,873,122"
354,MA,02,James P McGovern,D,True,True,65.3,"$1,052,549","$1,089,412"
355,MA,02,Tracy Lovvorn,R,False,False,34.6,"$26,311","$22,319"
356,MA,03,Lori Trahan,D,True,True,97.7,"$1,449,303","$1,232,437"
357,MA,04,Jake Auchincloss,D,False,True,60.8,"$2,608,686","$2,150,904"
358,MA,04,Julie Hall,R,False,False,38.9,"$131,603","$129,378"
359,MA,05,Katherine Clark,D,True,True,74.3,"$1,788,706","$1,514,877"
